v1, v2, acc
v1: 1, v2: 1, acc: 48.484848484848484
v1: 1, v2: 2, acc: 48.484848484848484
v1: 1, v2: 3, acc: 48.484848484848484
v1: 1, v2: 4, acc: 48.484848484848484
v1: 1, v2: 5, acc: 48.484848484848484
v1: 1, v2: 6, acc: 48.484848484848484
v1: 1, v2: 7, acc: 48.484848484848484
v1: 1, v2: 8, acc: 48.484848484848484
v1: 1, v2: 9, acc: 48.484848484848484
v1: 1, v2: 10, acc: 48.484848484848484
v1: 1, v2: 11, acc: 48.484848484848484
v1: 1, v2: 12, acc: 48.484848484848484
v1: 1, v2: 13, acc: 48.484848484848484
v1: 1, v2: 14, acc: 48.484848484848484
v1: 1, v2: 15, acc: 48.484848484848484
v1: 1, v2: 16, acc: 48.484848484848484
v1: 1, v2: 17, acc: 48.484848484848484
v1: 1, v2: 18, acc: 48.484848484848484
v1: 1, v2: 19, acc: 48.484848484848484
v1: 1, v2: 20, acc: 48.484848484848484
v1: 1, v2: 21, acc: 48.484848484848484
v1: 1, v2: 22, acc: 48.484848484848484
v1: 1, v2: 23, acc: 48.484848484848484
v1: 1, v2: 24, acc: 48.484848484848484
v1: 1, v2: 25, acc: 48.484848484848484
v1: 1, v2: 26, acc: 48.484848484848484
v1: 1, v2: 27, acc: 48.484848484848484
v1: 1, v2: 28, acc: 48.484848484848484
v1: 1, v2: 29, acc: 48.484848484848484
v1: 1, v2: 30, acc: 48.484848484848484
v1: 1, v2: 31, acc: 48.484848484848484
v1: 2, v2: 1, acc: 48.484848484848484
v1: 2, v2: 2, acc: 48.484848484848484
v1: 2, v2: 3, acc: 48.484848484848484
v1: 2, v2: 4, acc: 48.484848484848484
v1: 2, v2: 5, acc: 48.484848484848484
v1: 2, v2: 6, acc: 48.484848484848484
v1: 2, v2: 7, acc: 48.484848484848484
v1: 2, v2: 8, acc: 48.484848484848484
v1: 2, v2: 9, acc: 48.484848484848484
v1: 2, v2: 10, acc: 48.484848484848484
v1: 2, v2: 11, acc: 48.484848484848484
v1: 2, v2: 12, acc: 48.484848484848484
v1: 2, v2: 13, acc: 48.484848484848484
v1: 2, v2: 14, acc: 48.484848484848484
v1: 2, v2: 15, acc: 48.484848484848484
v1: 2, v2: 16, acc: 48.484848484848484
v1: 2, v2: 17, acc: 48.484848484848484
v1: 2, v2: 18, acc: 48.484848484848484
v1: 2, v2: 19, acc: 48.484848484848484
v1: 2, v2: 20, acc: 48.484848484848484
v1: 2, v2: 21, acc: 48.484848484848484
v1: 2, v2: 22, acc: 48.484848484848484
v1: 2, v2: 23, acc: 48.484848484848484
v1: 2, v2: 24, acc: 48.484848484848484
v1: 2, v2: 25, acc: 48.484848484848484
v1: 2, v2: 26, acc: 48.484848484848484
v1: 2, v2: 27, acc: 48.484848484848484
v1: 2, v2: 28, acc: 48.484848484848484
v1: 2, v2: 29, acc: 48.484848484848484
v1: 2, v2: 30, acc: 48.484848484848484
v1: 2, v2: 31, acc: 48.484848484848484
v1: 3, v2: 1, acc: 48.484848484848484
v1: 3, v2: 2, acc: 48.484848484848484
v1: 3, v2: 3, acc: 48.484848484848484
v1: 3, v2: 4, acc: 48.484848484848484
v1: 3, v2: 5, acc: 48.484848484848484
v1: 3, v2: 6, acc: 48.484848484848484
v1: 3, v2: 7, acc: 48.484848484848484
v1: 3, v2: 8, acc: 48.484848484848484
v1: 3, v2: 9, acc: 48.484848484848484
v1: 3, v2: 10, acc: 48.484848484848484
v1: 3, v2: 11, acc: 48.484848484848484
v1: 3, v2: 12, acc: 48.484848484848484
v1: 3, v2: 13, acc: 48.484848484848484
v1: 3, v2: 14, acc: 48.484848484848484
v1: 3, v2: 15, acc: 48.484848484848484
v1: 3, v2: 16, acc: 48.484848484848484
v1: 3, v2: 17, acc: 48.484848484848484
v1: 3, v2: 18, acc: 48.484848484848484
v1: 3, v2: 19, acc: 48.484848484848484
v1: 3, v2: 20, acc: 48.484848484848484
v1: 3, v2: 21, acc: 48.484848484848484
v1: 3, v2: 22, acc: 48.484848484848484
v1: 3, v2: 23, acc: 48.484848484848484
v1: 3, v2: 24, acc: 48.484848484848484
v1: 3, v2: 25, acc: 48.484848484848484
v1: 3, v2: 26, acc: 48.484848484848484
v1: 3, v2: 27, acc: 48.484848484848484
v1: 3, v2: 28, acc: 48.484848484848484
v1: 3, v2: 29, acc: 48.484848484848484
v1: 3, v2: 30, acc: 48.484848484848484
v1: 3, v2: 31, acc: 48.484848484848484
v1: 4, v2: 1, acc: 48.484848484848484
v1: 4, v2: 2, acc: 48.484848484848484
v1: 4, v2: 3, acc: 48.484848484848484
v1: 4, v2: 4, acc: 48.484848484848484
v1: 4, v2: 5, acc: 48.484848484848484
v1: 4, v2: 6, acc: 48.484848484848484
v1: 4, v2: 7, acc: 48.484848484848484
v1: 4, v2: 8, acc: 48.484848484848484
v1: 4, v2: 9, acc: 48.484848484848484
v1: 4, v2: 10, acc: 48.484848484848484
v1: 4, v2: 11, acc: 48.484848484848484
v1: 4, v2: 12, acc: 48.484848484848484
v1: 4, v2: 13, acc: 48.484848484848484
v1: 4, v2: 14, acc: 48.484848484848484
v1: 4, v2: 15, acc: 48.484848484848484
v1: 4, v2: 16, acc: 48.484848484848484
v1: 4, v2: 17, acc: 48.484848484848484
v1: 4, v2: 18, acc: 48.484848484848484
v1: 4, v2: 19, acc: 48.484848484848484
v1: 4, v2: 20, acc: 48.484848484848484
v1: 4, v2: 21, acc: 48.484848484848484
v1: 4, v2: 22, acc: 48.484848484848484
v1: 4, v2: 23, acc: 48.484848484848484
v1: 4, v2: 24, acc: 48.484848484848484
v1: 4, v2: 25, acc: 48.484848484848484
v1: 4, v2: 26, acc: 48.484848484848484
v1: 4, v2: 27, acc: 48.484848484848484
v1: 4, v2: 28, acc: 48.484848484848484
v1: 4, v2: 29, acc: 48.484848484848484
v1: 4, v2: 30, acc: 48.484848484848484
v1: 4, v2: 31, acc: 48.484848484848484
v1: 5, v2: 1, acc: 48.484848484848484
v1: 5, v2: 2, acc: 48.484848484848484
v1: 5, v2: 3, acc: 48.484848484848484
v1: 5, v2: 4, acc: 48.484848484848484
v1: 5, v2: 5, acc: 48.484848484848484
v1: 5, v2: 6, acc: 48.484848484848484
v1: 5, v2: 7, acc: 48.484848484848484
v1: 5, v2: 8, acc: 48.484848484848484
v1: 5, v2: 9, acc: 48.484848484848484
v1: 5, v2: 10, acc: 48.484848484848484
v1: 5, v2: 11, acc: 48.484848484848484
v1: 5, v2: 12, acc: 48.484848484848484
v1: 5, v2: 13, acc: 48.484848484848484
v1: 5, v2: 14, acc: 48.484848484848484
v1: 5, v2: 15, acc: 48.484848484848484
v1: 5, v2: 16, acc: 48.484848484848484
v1: 5, v2: 17, acc: 48.484848484848484
v1: 5, v2: 18, acc: 48.484848484848484
v1: 5, v2: 19, acc: 48.484848484848484
v1: 5, v2: 20, acc: 48.484848484848484
v1: 5, v2: 21, acc: 48.484848484848484
v1: 5, v2: 22, acc: 48.484848484848484
v1: 5, v2: 23, acc: 48.484848484848484
v1: 5, v2: 24, acc: 48.484848484848484
v1: 5, v2: 25, acc: 48.484848484848484
v1: 5, v2: 26, acc: 48.484848484848484
v1: 5, v2: 27, acc: 48.484848484848484
v1: 5, v2: 28, acc: 48.484848484848484
v1: 5, v2: 29, acc: 48.484848484848484
v1: 5, v2: 30, acc: 48.484848484848484
v1: 5, v2: 31, acc: 48.484848484848484
v1: 6, v2: 1, acc: 48.484848484848484
v1: 6, v2: 2, acc: 48.484848484848484
v1: 6, v2: 3, acc: 48.484848484848484
v1: 6, v2: 4, acc: 48.484848484848484
v1: 6, v2: 5, acc: 48.484848484848484
v1: 6, v2: 6, acc: 48.484848484848484
v1: 6, v2: 7, acc: 48.484848484848484
v1: 6, v2: 8, acc: 48.484848484848484
v1: 6, v2: 9, acc: 48.484848484848484
v1: 6, v2: 10, acc: 48.484848484848484
v1: 6, v2: 11, acc: 48.484848484848484
v1: 6, v2: 12, acc: 48.484848484848484
v1: 6, v2: 13, acc: 48.484848484848484
v1: 6, v2: 14, acc: 48.484848484848484
v1: 6, v2: 15, acc: 48.484848484848484
v1: 6, v2: 16, acc: 48.484848484848484
v1: 6, v2: 17, acc: 48.484848484848484
v1: 6, v2: 18, acc: 48.484848484848484
v1: 6, v2: 19, acc: 48.484848484848484
v1: 6, v2: 20, acc: 48.484848484848484
v1: 6, v2: 21, acc: 48.484848484848484
v1: 6, v2: 22, acc: 48.484848484848484
v1: 6, v2: 23, acc: 48.484848484848484
v1: 6, v2: 24, acc: 48.484848484848484
v1: 6, v2: 25, acc: 48.484848484848484
v1: 6, v2: 26, acc: 48.484848484848484
v1: 6, v2: 27, acc: 48.484848484848484
v1: 6, v2: 28, acc: 48.484848484848484
v1: 6, v2: 29, acc: 48.484848484848484
v1: 6, v2: 30, acc: 48.484848484848484
v1: 6, v2: 31, acc: 48.484848484848484
v1: 7, v2: 1, acc: 48.484848484848484
v1: 7, v2: 2, acc: 48.484848484848484
v1: 7, v2: 3, acc: 48.484848484848484
v1: 7, v2: 4, acc: 48.484848484848484
v1: 7, v2: 5, acc: 48.484848484848484
v1: 7, v2: 6, acc: 48.484848484848484
v1: 7, v2: 7, acc: 48.484848484848484
v1: 7, v2: 8, acc: 48.484848484848484
v1: 7, v2: 9, acc: 48.484848484848484
v1: 7, v2: 10, acc: 48.484848484848484
v1: 7, v2: 11, acc: 48.484848484848484
v1: 7, v2: 12, acc: 48.484848484848484
v1: 7, v2: 13, acc: 48.484848484848484
v1: 7, v2: 14, acc: 48.484848484848484
v1: 7, v2: 15, acc: 48.484848484848484
v1: 7, v2: 16, acc: 48.484848484848484
v1: 7, v2: 17, acc: 48.484848484848484
v1: 7, v2: 18, acc: 48.484848484848484
v1: 7, v2: 19, acc: 48.484848484848484
v1: 7, v2: 20, acc: 48.484848484848484
v1: 7, v2: 21, acc: 48.484848484848484
v1: 7, v2: 22, acc: 48.484848484848484
v1: 7, v2: 23, acc: 48.484848484848484
v1: 7, v2: 24, acc: 48.484848484848484
v1: 7, v2: 25, acc: 48.484848484848484
v1: 7, v2: 26, acc: 48.484848484848484
v1: 7, v2: 27, acc: 48.484848484848484
v1: 7, v2: 28, acc: 48.484848484848484
v1: 7, v2: 29, acc: 48.484848484848484
v1: 7, v2: 30, acc: 48.484848484848484
v1: 7, v2: 31, acc: 48.484848484848484
v1: 8, v2: 1, acc: 48.484848484848484
v1: 8, v2: 2, acc: 48.484848484848484
v1: 8, v2: 3, acc: 48.484848484848484
v1: 8, v2: 4, acc: 48.484848484848484
v1: 8, v2: 5, acc: 48.484848484848484
v1: 8, v2: 6, acc: 48.484848484848484
v1: 8, v2: 7, acc: 48.484848484848484
v1: 8, v2: 8, acc: 48.484848484848484
v1: 8, v2: 9, acc: 48.484848484848484
v1: 8, v2: 10, acc: 48.484848484848484
v1: 8, v2: 11, acc: 48.484848484848484
v1: 8, v2: 12, acc: 48.484848484848484
v1: 8, v2: 13, acc: 48.484848484848484
v1: 8, v2: 14, acc: 48.484848484848484
v1: 8, v2: 15, acc: 48.484848484848484
v1: 8, v2: 16, acc: 48.484848484848484
v1: 8, v2: 17, acc: 48.484848484848484
v1: 8, v2: 18, acc: 48.484848484848484
v1: 8, v2: 19, acc: 48.484848484848484
v1: 8, v2: 20, acc: 48.484848484848484
v1: 8, v2: 21, acc: 48.484848484848484
v1: 8, v2: 22, acc: 48.484848484848484
v1: 8, v2: 23, acc: 48.484848484848484
v1: 8, v2: 24, acc: 48.484848484848484
v1: 8, v2: 25, acc: 48.484848484848484
v1: 8, v2: 26, acc: 48.484848484848484
v1: 8, v2: 27, acc: 48.484848484848484
v1: 8, v2: 28, acc: 48.484848484848484
v1: 8, v2: 29, acc: 48.484848484848484
v1: 8, v2: 30, acc: 48.484848484848484
v1: 8, v2: 31, acc: 48.484848484848484
v1: 9, v2: 1, acc: 48.484848484848484
v1: 9, v2: 2, acc: 48.484848484848484
v1: 9, v2: 3, acc: 48.484848484848484
v1: 9, v2: 4, acc: 48.484848484848484
v1: 9, v2: 5, acc: 48.484848484848484
v1: 9, v2: 6, acc: 48.484848484848484
v1: 9, v2: 7, acc: 48.484848484848484
v1: 9, v2: 8, acc: 48.484848484848484
v1: 9, v2: 9, acc: 48.484848484848484
v1: 9, v2: 10, acc: 48.484848484848484
v1: 9, v2: 11, acc: 48.484848484848484
v1: 9, v2: 12, acc: 48.484848484848484
v1: 9, v2: 13, acc: 48.484848484848484
v1: 9, v2: 14, acc: 48.484848484848484
v1: 9, v2: 15, acc: 48.484848484848484
v1: 9, v2: 16, acc: 48.484848484848484
v1: 9, v2: 17, acc: 48.484848484848484
v1: 9, v2: 18, acc: 48.484848484848484
v1: 9, v2: 19, acc: 48.484848484848484
v1: 9, v2: 20, acc: 48.484848484848484
v1: 9, v2: 21, acc: 48.484848484848484
v1: 9, v2: 22, acc: 48.484848484848484
v1: 9, v2: 23, acc: 48.484848484848484
v1: 9, v2: 24, acc: 48.484848484848484
v1: 9, v2: 25, acc: 48.484848484848484
v1: 9, v2: 26, acc: 48.484848484848484
v1: 9, v2: 27, acc: 48.484848484848484
v1: 9, v2: 28, acc: 48.484848484848484
v1: 9, v2: 29, acc: 48.484848484848484
v1: 9, v2: 30, acc: 48.484848484848484
v1: 9, v2: 31, acc: 48.484848484848484
v1: 10, v2: 1, acc: 48.484848484848484
v1: 10, v2: 2, acc: 48.484848484848484
v1: 10, v2: 3, acc: 48.484848484848484
v1: 10, v2: 4, acc: 48.484848484848484
v1: 10, v2: 5, acc: 48.484848484848484
v1: 10, v2: 6, acc: 48.484848484848484
v1: 10, v2: 7, acc: 48.484848484848484
v1: 10, v2: 8, acc: 48.484848484848484
v1: 10, v2: 9, acc: 48.484848484848484
v1: 10, v2: 10, acc: 48.484848484848484
v1: 10, v2: 11, acc: 48.484848484848484
v1: 10, v2: 12, acc: 48.484848484848484
v1: 10, v2: 13, acc: 48.484848484848484
v1: 10, v2: 14, acc: 48.484848484848484
v1: 10, v2: 15, acc: 48.484848484848484
v1: 10, v2: 16, acc: 48.484848484848484
v1: 10, v2: 17, acc: 48.484848484848484
v1: 10, v2: 18, acc: 48.484848484848484
v1: 10, v2: 19, acc: 48.484848484848484
v1: 10, v2: 20, acc: 48.484848484848484
v1: 10, v2: 21, acc: 48.484848484848484
v1: 10, v2: 22, acc: 48.484848484848484
v1: 10, v2: 23, acc: 48.484848484848484
v1: 10, v2: 24, acc: 48.484848484848484
v1: 10, v2: 25, acc: 48.484848484848484
v1: 10, v2: 26, acc: 48.484848484848484
v1: 10, v2: 27, acc: 48.484848484848484
v1: 10, v2: 28, acc: 48.484848484848484
v1: 10, v2: 29, acc: 48.484848484848484
v1: 10, v2: 30, acc: 48.484848484848484
v1: 10, v2: 31, acc: 48.484848484848484
v1: 11, v2: 1, acc: 48.484848484848484
v1: 11, v2: 2, acc: 48.484848484848484
v1: 11, v2: 3, acc: 48.484848484848484
v1: 11, v2: 4, acc: 48.484848484848484
v1: 11, v2: 5, acc: 48.484848484848484
v1: 11, v2: 6, acc: 48.484848484848484
v1: 11, v2: 7, acc: 48.484848484848484
v1: 11, v2: 8, acc: 48.484848484848484
v1: 11, v2: 9, acc: 48.484848484848484
v1: 11, v2: 10, acc: 48.484848484848484
v1: 11, v2: 11, acc: 48.484848484848484
v1: 11, v2: 12, acc: 48.484848484848484
v1: 11, v2: 13, acc: 48.484848484848484
v1: 11, v2: 14, acc: 48.484848484848484
v1: 11, v2: 15, acc: 48.484848484848484
v1: 11, v2: 16, acc: 48.484848484848484
v1: 11, v2: 17, acc: 48.484848484848484
v1: 11, v2: 18, acc: 48.484848484848484
v1: 11, v2: 19, acc: 48.484848484848484
v1: 11, v2: 20, acc: 48.484848484848484
v1: 11, v2: 21, acc: 48.484848484848484
v1: 11, v2: 22, acc: 48.484848484848484
v1: 11, v2: 23, acc: 48.484848484848484
v1: 11, v2: 24, acc: 48.484848484848484
v1: 11, v2: 25, acc: 48.484848484848484
v1: 11, v2: 26, acc: 48.484848484848484
v1: 11, v2: 27, acc: 48.484848484848484
v1: 11, v2: 28, acc: 48.484848484848484
v1: 11, v2: 29, acc: 48.484848484848484
v1: 11, v2: 30, acc: 48.484848484848484
v1: 11, v2: 31, acc: 48.484848484848484
v1: 12, v2: 1, acc: 48.484848484848484
v1: 12, v2: 2, acc: 48.484848484848484
v1: 12, v2: 3, acc: 48.484848484848484
v1: 12, v2: 4, acc: 48.484848484848484
v1: 12, v2: 5, acc: 48.484848484848484
v1: 12, v2: 6, acc: 48.484848484848484
v1: 12, v2: 7, acc: 48.484848484848484
v1: 12, v2: 8, acc: 48.484848484848484
v1: 12, v2: 9, acc: 48.484848484848484
v1: 12, v2: 10, acc: 48.484848484848484
v1: 12, v2: 11, acc: 48.484848484848484
v1: 12, v2: 12, acc: 48.484848484848484
v1: 12, v2: 13, acc: 48.484848484848484
v1: 12, v2: 14, acc: 48.484848484848484
v1: 12, v2: 15, acc: 48.484848484848484
v1: 12, v2: 16, acc: 48.484848484848484
v1: 12, v2: 17, acc: 48.484848484848484
v1: 12, v2: 18, acc: 48.484848484848484
v1: 12, v2: 19, acc: 48.484848484848484
v1: 12, v2: 20, acc: 48.484848484848484
v1: 12, v2: 21, acc: 48.484848484848484
v1: 12, v2: 22, acc: 48.484848484848484
v1: 12, v2: 23, acc: 48.484848484848484
v1: 12, v2: 24, acc: 48.484848484848484
v1: 12, v2: 25, acc: 48.484848484848484
v1: 12, v2: 26, acc: 48.484848484848484
v1: 12, v2: 27, acc: 48.484848484848484
v1: 12, v2: 28, acc: 48.484848484848484
v1: 12, v2: 29, acc: 48.484848484848484
v1: 12, v2: 30, acc: 48.484848484848484
v1: 12, v2: 31, acc: 48.484848484848484
v1: 13, v2: 1, acc: 48.484848484848484
v1: 13, v2: 2, acc: 48.484848484848484
v1: 13, v2: 3, acc: 48.484848484848484
v1: 13, v2: 4, acc: 48.484848484848484
v1: 13, v2: 5, acc: 48.484848484848484
v1: 13, v2: 6, acc: 48.484848484848484
v1: 13, v2: 7, acc: 48.484848484848484
v1: 13, v2: 8, acc: 48.484848484848484
v1: 13, v2: 9, acc: 48.484848484848484
v1: 13, v2: 10, acc: 48.484848484848484
v1: 13, v2: 11, acc: 48.484848484848484
v1: 13, v2: 12, acc: 48.484848484848484
v1: 13, v2: 13, acc: 48.484848484848484
v1: 13, v2: 14, acc: 48.484848484848484
v1: 13, v2: 15, acc: 48.484848484848484
v1: 13, v2: 16, acc: 48.484848484848484
v1: 13, v2: 17, acc: 48.484848484848484
v1: 13, v2: 18, acc: 48.484848484848484
v1: 13, v2: 19, acc: 48.484848484848484
v1: 13, v2: 20, acc: 48.484848484848484
v1: 13, v2: 21, acc: 48.484848484848484
v1: 13, v2: 22, acc: 48.484848484848484
v1: 13, v2: 23, acc: 48.484848484848484
v1: 13, v2: 24, acc: 48.484848484848484
v1: 13, v2: 25, acc: 48.484848484848484
v1: 13, v2: 26, acc: 48.484848484848484
v1: 13, v2: 27, acc: 48.484848484848484
v1: 13, v2: 28, acc: 48.484848484848484
v1: 13, v2: 29, acc: 48.484848484848484
v1: 13, v2: 30, acc: 48.484848484848484
v1: 13, v2: 31, acc: 48.484848484848484
v1: 14, v2: 1, acc: 48.484848484848484
v1: 14, v2: 2, acc: 48.484848484848484
v1: 14, v2: 3, acc: 48.484848484848484
v1: 14, v2: 4, acc: 48.484848484848484
v1: 14, v2: 5, acc: 48.484848484848484
v1: 14, v2: 6, acc: 48.484848484848484
v1: 14, v2: 7, acc: 48.484848484848484
v1: 14, v2: 8, acc: 48.484848484848484
v1: 14, v2: 9, acc: 48.484848484848484
v1: 14, v2: 10, acc: 48.484848484848484
v1: 14, v2: 11, acc: 48.484848484848484
v1: 14, v2: 12, acc: 48.484848484848484
v1: 14, v2: 13, acc: 48.484848484848484
v1: 14, v2: 14, acc: 48.484848484848484
v1: 14, v2: 15, acc: 48.484848484848484
v1: 14, v2: 16, acc: 48.484848484848484
v1: 14, v2: 17, acc: 48.484848484848484
v1: 14, v2: 18, acc: 48.484848484848484
v1: 14, v2: 19, acc: 48.484848484848484
v1: 14, v2: 20, acc: 48.484848484848484
v1: 14, v2: 21, acc: 48.484848484848484
v1: 14, v2: 22, acc: 48.484848484848484
v1: 14, v2: 23, acc: 48.484848484848484
v1: 14, v2: 24, acc: 48.484848484848484
v1: 14, v2: 25, acc: 48.484848484848484
v1: 14, v2: 26, acc: 48.484848484848484
v1: 14, v2: 27, acc: 48.484848484848484
v1: 14, v2: 28, acc: 48.484848484848484
v1: 14, v2: 29, acc: 48.484848484848484
v1: 14, v2: 30, acc: 48.484848484848484
v1: 14, v2: 31, acc: 48.484848484848484
v1: 15, v2: 1, acc: 48.484848484848484
v1: 15, v2: 2, acc: 48.484848484848484
v1: 15, v2: 3, acc: 48.484848484848484
v1: 15, v2: 4, acc: 48.484848484848484
v1: 15, v2: 5, acc: 48.484848484848484
v1: 15, v2: 6, acc: 48.484848484848484
v1: 15, v2: 7, acc: 48.484848484848484
v1: 15, v2: 8, acc: 48.484848484848484
v1: 15, v2: 9, acc: 48.484848484848484
v1: 15, v2: 10, acc: 48.484848484848484
v1: 15, v2: 11, acc: 48.484848484848484
v1: 15, v2: 12, acc: 48.484848484848484
v1: 15, v2: 13, acc: 48.484848484848484
v1: 15, v2: 14, acc: 48.484848484848484
v1: 15, v2: 15, acc: 48.484848484848484
