v1: 32, v2: 10, acc: 53.63636363636363
v1: 32, v2: 11, acc: 48.93939393939394
v1: 32, v2: 12, acc: 49.39393939393939
v1: 32, v2: 13, acc: 48.18181818181818
v1: 32, v2: 14, acc: 49.84848484848485
v1: 32, v2: 15, acc: 51.81818181818182
v1: 32, v2: 16, acc: 51.06060606060606
v1: 32, v2: 17, acc: 48.484848484848484
v1: 32, v2: 18, acc: 48.18181818181818
v1: 32, v2: 19, acc: 52.878787878787875
v1: 32, v2: 20, acc: 48.78787878787879
v1: 32, v2: 21, acc: 50.75757575757576
v1: 32, v2: 22, acc: 47.878787878787875
v1: 32, v2: 23, acc: 48.333333333333336
v1: 32, v2: 24, acc: 51.666666666666664
v1: 32, v2: 25, acc: 49.84848484848485
v1: 32, v2: 26, acc: 49.24242424242424
v1: 32, v2: 27, acc: 48.03030303030303
v1: 32, v2: 28, acc: 53.03030303030303
v1: 32, v2: 29, acc: 48.93939393939394
v1: 32, v2: 30, acc: 50.45454545454545
v1: 32, v2: 31, acc: 52.57575757575758
v1: 31, v2: 10, acc: 50.45454545454545
v1: 31, v2: 11, acc: 52.27272727272727
v1: 31, v2: 12, acc: 51.21212121212121
v1: 31, v2: 13, acc: 48.333333333333336
v1: 31, v2: 14, acc: 47.72727272727273
v1: 31, v2: 15, acc: 52.42424242424242
v1: 31, v2: 16, acc: 50.303030303030305
v1: 31, v2: 17, acc: 52.121212121212125
v1: 31, v2: 18, acc: 50.303030303030305
v1: 31, v2: 19, acc: 54.54545454545455
v1: 31, v2: 20, acc: 51.515151515151516
v1: 31, v2: 21, acc: 53.78787878787879
v1: 31, v2: 22, acc: 53.18181818181818
v1: 31, v2: 23, acc: 50.90909090909091
v1: 31, v2: 24, acc: 52.72727272727273
v1: 31, v2: 25, acc: 50.0
v1: 31, v2: 26, acc: 51.666666666666664
v1: 31, v2: 27, acc: 51.666666666666664
v1: 31, v2: 28, acc: 52.121212121212125
v1: 31, v2: 29, acc: 49.84848484848485
v1: 31, v2: 30, acc: 52.42424242424242
v1: 31, v2: 31, acc: 49.696969696969695
v1: 30, v2: 10, acc: 51.96969696969697
v1: 30, v2: 11, acc: 53.63636363636363
v1: 30, v2: 12, acc: 49.09090909090909
v1: 30, v2: 13, acc: 52.57575757575758
v1: 30, v2: 14, acc: 50.60606060606061
v1: 30, v2: 15, acc: 47.878787878787875
v1: 30, v2: 16, acc: 54.24242424242424
v1: 30, v2: 17, acc: 53.78787878787879
v1: 30, v2: 18, acc: 51.06060606060606
v1: 30, v2: 19, acc: 51.06060606060606
v1: 30, v2: 20, acc: 51.666666666666664
v1: 30, v2: 21, acc: 51.21212121212121
v1: 30, v2: 22, acc: 52.42424242424242
v1: 30, v2: 23, acc: 50.60606060606061
