1,Tik Tok,Kesha
2,Need You Now,Lady Antebellum
3,"Hey, Soul Sister",Train
4,California Gurls,Katy PerryfeaturingSnoop Dogg
5,OMG,Usherfeaturingwill.i.am
6,Airplanes,B.o.BfeaturingHayley Williams
7,Love the Way You Lie,EminemfeaturingRihanna
8,Bad Romance,Lady Gaga
9,Dynamite,Taio Cruz
10,Break Your Heart,Taio CruzfeaturingLudacris
11,Nothin' on You,B.o.BfeaturingBruno Mars
12,I Like It,Enrique IglesiasfeaturingPitbull
13,BedRock,Young MoneyfeaturingLloyd
14,In My Head,Jason Derulo
15,Rude Boy,Rihanna
16,Telephone,Lady GagafeaturingBeyoncé
17,Teenage Dream,Katy Perry
18,Just the Way You Are,Bruno Mars
19,Cooler Than Me,Mike Posner
20,Imma Be,The Black Eyed Peas
21,Empire State of Mind,Jay-ZfeaturingAlicia Keys
22,DJ Got Us Fallin' in Love,UsherfeaturingPitbull
23,Billionaire,Travie McCoyfeaturingBruno Mars
24,Not Afraid,Eminem
25,Replay,Iyaz
26,Sexy Bitch,David GuettafeaturingAkon
27,Breakeven,The Script
28,Your Love Is My Drug,Kesha
29,I Gotta Feeling,The Black Eyed Peas
30,Fireflies,Owl City
31,Say Aah,Trey SongzfeaturingFabolous
32,Find Your Love,Drake
33,Alejandro,Lady Gaga
34,Ridin' Solo,Jason Derulo
35,Just a Dream,Nelly
36,How Low,Ludacris
37,Like a G6,Far East MovementfeaturingThe CataracsandDev
38,Carry Out,TimbalandfeaturingJustin Timberlake
39,Haven't Met You Yet,Michael Bublé
40,Club Can't Handle Me,Flo RidafeaturingDavid Guetta
41,Down,Jay SeanfeaturingLil Wayne
42,Bulletproof,La Roux
43,Whatcha Say,Jason Derulo
44,Baby,Justin BieberfeaturingLudacris
45,Whataya Want from Me,Adam Lambert
46,Mine,Taylor Swift
47,Only Girl (In the World),Rihanna
48,Live Like We're Dying,Kris Allen
49,Hard,RihannafeaturingJeezy
50,Young Forever,Jay-ZfeaturingMr Hudson
51,Blah Blah Blah,Keshafeaturing3OH!3
52,Bottoms Up,Trey SongzfeaturingNicki Minaj
53,Do You Remember,Jay SeanfeaturingSean PaulandLil Jon
54,All the Right Moves,OneRepublic
55,According to You,Orianthi
56,My Chick Bad,LudacrisfeaturingNicki Minaj
57,You Belong with Me,Taylor Swift
58,Meet Me Halfway,The Black Eyed Peas
59,Take It Off,Kesha
60,Over,Drake
61,Animal,Neon Trees
62,Misery,Maroon 5
63,Magic,B.o.BfeaturingRivers Cuomo
64,Paparazzi,Lady Gaga
65,Tie Me Down,New BoyzfeaturingRay J
66,Your Love,Nicki Minaj
67,Party in the U.S.A.,Miley Cyrus
68,Deuces,Chris BrownfeaturingTygaandKevin McCall
69,3,Britney Spears
70,Impossible,Shontelle
71,Forever,"DrakefeaturingKanye West,Lil WayneandEminem"
72,Two Is Better Than One,Boys Like GirlsfeaturingTaylor Swift
73,My First Kiss,3OH!3featuringKesha
74,Already Gone,Kelly Clarkson
75,Rock That Body,The Black Eyed Peas
76,Secrets,OneRepublic
77,Naturally,Selena Gomez & the Scene
78,Un-Thinkable (I'm Ready),Alicia Keys
79,All I Do Is Win,"DJ KhaledfeaturingT-Pain,Ludacris,Snoop DoggandRick Ross"
80,I Made It (Cash Money Heroes),"Kevin RudolffeaturingBirdman,Jay SeanandLil Wayne"
81,Stuck Like Glue,Sugarland
82,Hey Daddy (Daddy's Home),UsherfeaturingPlies
83,There Goes My Baby,Usher
84,Today Was a Fairytale,Taylor Swift
85,Say Something,TimbalandfeaturingDrake
86,Sweet Dreams,Beyoncé
87,Use Somebody,Kings of Leon
88,Undo It,Carrie Underwood
89,Eenie Meenie,Sean KingstonandJustin Bieber
90,Right Above It,Lil WaynefeaturingDrake
91,The House That Built Me,Miranda Lambert
92,If I Die Young,The Band Perry
93,The Only Exception,Paramore
94,American Honey,Lady Antebellum
95,King of Anything,Sara Bareilles
96,Life After You,Daughtry
97,Smile,Uncle Kracker
98,Teach Me How to Dougie,Cali Swag District
99,Try Sleeping with a Broken Heart,Alicia Keys
100,"Lover, Lover",Jerrod Niemann

1946194719481949
19501951195219531954195519561957195819591960196119621963196419651966196719681969
19701971197219731974197519761977197819791980198119821983198419851986198719881989
19901991199219931994199519961997199819992000200120022003200420052006200720082009
2010201120122013201420152016201720182019202020212022
